sku_id,stock_on_hand,days_of_cover,sell_through_weekly_pct,ageing_days,stockout_risk_pct,days_to_season_end
MYN-W-0244,22,36,0.2,7,0.0,
MYN-W-0245,45,65,0.17,38,0.0,
MYN-W-0246,68,19,0.14,69,37.0,
MYN-W-0247,91,48,0.11,100,0.0,
MYN-W-0248,114,77,0.08,11,0.0,
MYN-W-0249,137,31,0.05,42,0.0,
MYN-W-0250,160,60,0.24,73,0.0,
MYN-W-0251,183,14,0.21,104,53.0,
MYN-W-0252,206,43,0.18,15,0.0,
MYN-W-0253,229,72,0.15,46,0.0,
MYN-W-0254,252,26,0.12,77,13.0,
MYN-W-0255,275,55,0.09,108,0.0,
MYN-W-0256,298,84,0.06,19,0.0,
MYN-W-0257,321,38,0.25,50,0.0,
MYN-W-0258,344,67,0.22,81,0.0,
MYN-W-0259,367,21,0.19,112,30.0,
MYN-W-0260,390,50,0.16,23,0.0,
MYN-W-0261,413,79,0.13,54,0.0,
MYN-W-0262,436,33,0.1,85,0.0,
MYN-W-0263,459,62,0.07,116,0.0,
MYN-W-0264,482,16,0.04,27,47.0,
MYN-W-0265,505,45,0.23,58,0.0,
MYN-W-0266,528,74,0.2,89,0.0,
MYN-W-0267,551,28,0.17,120,7.0,
MYN-W-0268,574,57,0.14,31,0.0,
MYN-W-0269,597,11,0.11,62,63.0,
MYN-W-0270,620,40,0.08,93,0.0,
MYN-W-0271,643,69,0.05,4,0.0,
MYN-W-0272,666,23,0.24,35,23.0,
MYN-W-0273,689,52,0.21,66,0.0,
MYN-W-0274,12,81,0.18,97,0.0,
MYN-W-0275,35,35,0.15,8,0.0,
MYN-W-0276,58,64,0.12,39,0.0,
MYN-W-0277,81,18,0.09,70,40.0,
MYN-W-0278,104,47,0.06,101,0.0,
MYN-W-0279,127,76,0.25,12,0.0,
MYN-W-0280,150,30,0.22,43,0.0,
MYN-W-0281,173,59,0.19,74,0.0,
MYN-W-0282,196,13,0.16,105,57.0,
MYN-W-0283,219,42,0.13,16,0.0,
MYN-W-0284,242,71,0.1,47,0.0,
MYN-W-0285,265,25,0.07,78,17.0,
MYN-W-0286,288,54,0.04,109,0.0,
MYN-W-0287,311,83,0.23,20,0.0,
MYN-W-0288,334,37,0.2,51,0.0,
MYN-W-0289,357,66,0.17,82,0.0,
MYN-W-0290,380,20,0.14,113,33.0,
MYN-W-0291,403,49,0.11,24,0.0,
MYN-W-0292,426,78,0.08,55,0.0,
MYN-W-0293,449,32,0.05,86,0.0,
MYN-W-0294,472,61,0.24,117,0.0,
MYN-W-0295,495,15,0.21,28,50.0,
MYN-W-0296,518,44,0.18,59,0.0,
MYN-W-0297,541,73,0.15,90,0.0,
MYN-W-0298,564,27,0.12,121,10.0,
MYN-W-0299,587,56,0.09,32,0.0,
MYN-W-0300,610,10,0.06,63,67.0,
MYN-W-0301,633,39,0.25,94,0.0,
MYN-W-0302,656,68,0.22,5,0.0,
MYN-W-0303,679,22,0.19,36,27.0,
MYN-W-0304,702,51,0.16,67,0.0,
MYN-W-0305,25,80,0.13,98,0.0,
MYN-W-0306,48,34,0.1,9,0.0,
MYN-W-0307,71,63,0.07,40,0.0,
MYN-W-0308,94,17,0.04,71,43.0,
MYN-W-0309,117,46,0.23,102,0.0,
MYN-W-0310,140,75,0.2,13,0.0,
MYN-W-0311,163,29,0.17,44,3.0,
MYN-W-0312,186,58,0.14,75,0.0,
MYN-W-0313,209,12,0.11,106,60.0,
MYN-W-0314,232,41,0.08,17,0.0,
MYN-W-0315,255,70,0.05,48,0.0,
MYN-W-0316,278,24,0.24,79,20.0,
MYN-W-0317,301,53,0.21,110,0.0,
MYN-W-0318,324,82,0.18,21,0.0,
MYN-W-0319,347,36,0.15,52,0.0,
MYN-W-0320,370,65,0.12,83,0.0,
MYN-W-0321,393,19,0.09,114,37.0,
MYN-W-0322,416,48,0.06,25,0.0,
MYN-W-0323,439,77,0.25,56,0.0,
MYN-W-0324,462,31,0.22,87,0.0,
MYN-W-0325,485,60,0.19,118,0.0,
MYN-W-0326,508,14,0.16,29,53.0,
MYN-W-0327,531,43,0.13,60,0.0,
MYN-W-0328,554,72,0.1,91,0.0,
MYN-W-0329,577,26,0.07,122,13.0,
MYN-W-0330,600,55,0.04,33,0.0,
MYN-W-0331,623,84,0.23,64,0.0,
MYN-W-0332,646,38,0.2,95,0.0,
MYN-W-0333,669,67,0.17,6,0.0,
MYN-W-0334,692,21,0.14,37,30.0,
MYN-W-0335,15,50,0.11,68,0.0,
MYN-W-0336,38,79,0.08,99,0.0,
MYN-W-0337,61,33,0.05,10,0.0,
MYN-W-0338,84,62,0.24,41,0.0,
MYN-W-0339,107,16,0.21,72,47.0,
MYN-W-0340,130,45,0.18,103,0.0,
MYN-W-0341,153,74,0.15,14,0.0,
MYN-W-0342,176,28,0.12,45,7.0,
MYN-W-0343,199,57,0.09,76,0.0,
MYN-W-0344,222,11,0.06,107,63.0,
MYN-W-0345,245,40,0.25,18,0.0,
MYN-W-0346,268,69,0.22,49,0.0,
MYN-W-0347,291,23,0.19,80,23.0,
MYN-W-0348,314,52,0.16,111,0.0,
MYN-W-0349,337,81,0.13,22,0.0,
MYN-W-0350,360,35,0.1,53,0.0,
MYN-W-0351,383,64,0.07,84,0.0,
MYN-W-0352,406,18,0.04,115,40.0,
MYN-W-0353,429,47,0.23,26,0.0,
MYN-W-0354,452,76,0.2,57,0.0,
MYN-W-0355,475,30,0.17,88,0.0,
MYN-W-0356,498,59,0.14,119,0.0,
MYN-W-0357,521,13,0.11,30,57.0,
MYN-W-0358,544,42,0.08,61,0.0,
MYN-W-0359,567,71,0.05,92,0.0,
MYN-W-0360,590,25,0.24,3,17.0,
MYN-W-0361,613,54,0.21,34,0.0,
MYN-W-0362,636,83,0.18,65,0.0,
MYN-W-0363,659,37,0.15,96,0.0,
MYN-W-0364,682,66,0.12,7,0.0,
MYN-W-0365,705,20,0.09,38,33.0,
MYN-W-0366,28,49,0.06,69,0.0,
MYN-W-0367,51,78,0.25,100,0.0,
MYN-W-0368,74,32,0.22,11,0.0,
MYN-W-0369,97,61,0.19,42,0.0,
MYN-W-0370,120,15,0.16,73,50.0,
MYN-W-0371,143,44,0.13,104,0.0,
MYN-W-0372,166,73,0.1,15,0.0,
MYN-W-0373,189,27,0.07,46,10.0,
MYN-W-0374,212,56,0.04,77,0.0,
MYN-W-0375,235,10,0.23,108,67.0,
MYN-W-0376,258,39,0.2,19,0.0,
MYN-W-0377,281,68,0.17,50,0.0,
MYN-W-0378,304,22,0.14,81,27.0,
MYN-W-0379,327,51,0.11,112,0.0,
MYN-W-0380,350,80,0.08,23,0.0,
MYN-W-0381,373,34,0.05,54,0.0,
MYN-W-0382,396,63,0.24,85,0.0,
MYN-W-0383,419,17,0.21,116,43.0,
MYN-W-0384,442,46,0.18,27,0.0,
MYN-W-0385,465,75,0.15,58,0.0,
MYN-W-0386,488,29,0.12,89,3.0,
MYN-W-0387,511,58,0.09,120,0.0,
MYN-W-0388,534,12,0.06,31,60.0,
MYN-W-0389,557,41,0.25,62,0.0,
MYN-W-0390,580,70,0.22,93,0.0,
MYN-W-0391,603,24,0.19,4,20.0,
MYN-W-0392,626,53,0.16,35,0.0,
MYN-W-0393,649,82,0.13,66,0.0,
MYN-W-0394,672,36,0.1,97,0.0,
MYN-W-0395,695,65,0.07,8,0.0,
MYN-W-0396,18,19,0.04,39,37.0,
MYN-W-0397,41,48,0.23,70,0.0,
MYN-W-0398,64,77,0.2,101,0.0,
MYN-W-0399,87,31,0.17,12,0.0,
MYN-W-0400,110,60,0.14,43,0.0,
MYN-W-0401,133,14,0.11,74,53.0,
MYN-W-0402,156,43,0.08,105,0.0,
MYN-W-0403,179,72,0.05,16,0.0,
MYN-W-0404,202,26,0.24,47,13.0,
MYN-W-0405,225,55,0.21,78,0.0,
MYN-W-0406,248,84,0.18,109,0.0,
MYN-W-0407,271,38,0.15,20,0.0,
MYN-W-0408,294,67,0.12,51,0.0,
MYN-W-0409,317,21,0.09,82,30.0,
MYN-W-0410,340,50,0.06,113,0.0,
MYN-W-0411,363,79,0.25,24,0.0,
MYN-W-0412,386,33,0.22,55,0.0,
MYN-W-0413,409,62,0.19,86,0.0,
MYN-W-0414,432,16,0.16,117,47.0,
MYN-W-0415,455,45,0.13,28,0.0,
MYN-W-0416,478,74,0.1,59,0.0,
MYN-W-0417,501,28,0.07,90,7.0,
MYN-W-0418,524,57,0.04,121,0.0,
MYN-W-0419,547,11,0.23,32,63.0,
MYN-W-0420,570,40,0.2,63,0.0,
MYN-W-0421,593,69,0.17,94,0.0,
MYN-W-0422,616,23,0.14,5,23.0,
MYN-W-0423,639,52,0.11,36,0.0,
MYN-W-0424,662,81,0.08,67,0.0,
MYN-W-0425,685,35,0.05,98,0.0,
MYN-W-0426,708,64,0.24,9,0.0,
MYN-W-0427,31,18,0.21,40,40.0,
MYN-W-0428,54,47,0.18,71,0.0,
MYN-W-0429,77,76,0.15,102,0.0,
MYN-W-0430,100,30,0.12,13,0.0,
MYN-W-0431,123,59,0.09,44,0.0,
MYN-W-0432,146,13,0.06,75,57.0,
MYN-W-0433,169,42,0.25,106,0.0,
MYN-W-0434,192,71,0.22,17,0.0,
MYN-W-0435,215,25,0.19,48,17.0,
MYN-W-0436,238,54,0.16,79,0.0,
MYN-W-0437,261,83,0.13,110,0.0,
MYN-W-0438,284,37,0.1,21,0.0,
MYN-W-0439,307,66,0.07,52,0.0,
MYN-W-0440,330,20,0.04,83,33.0,
MYN-W-0441,353,49,0.23,114,0.0,
MYN-W-0442,376,78,0.2,25,0.0,
MYN-W-0443,399,32,0.17,56,0.0,
MYN-W-0444,422,61,0.14,87,0.0,
MYN-W-0445,445,15,0.11,118,50.0,
MYN-W-0446,468,44,0.08,29,0.0,
MYN-W-0447,491,73,0.05,60,0.0,
MYN-W-0448,514,27,0.24,91,10.0,
MYN-W-0449,537,56,0.21,122,0.0,
MYN-W-0450,560,10,0.18,33,67.0,
MYN-W-0451,583,39,0.15,64,0.0,
MYN-W-0452,606,68,0.12,95,0.0,
MYN-W-0453,629,22,0.09,6,27.0,
MYN-W-0454,652,51,0.06,37,0.0,
MYN-W-0455,675,80,0.25,68,0.0,
MYN-W-0456,698,34,0.22,99,0.0,
MYN-W-0457,21,63,0.19,10,0.0,
MYN-W-0458,44,17,0.16,41,43.0,
MYN-W-0459,67,46,0.13,72,0.0,
MYN-W-0460,90,75,0.1,103,0.0,
MYN-W-0461,113,29,0.07,14,3.0,
MYN-W-0462,136,58,0.04,45,0.0,
MYN-W-0463,159,12,0.23,76,60.0,
MYN-W-0464,182,41,0.2,107,0.0,
MYN-W-0465,205,70,0.17,18,0.0,
MYN-W-0466,228,24,0.14,49,20.0,
MYN-W-0467,251,53,0.11,80,0.0,
MYN-W-0468,274,82,0.08,111,0.0,
MYN-W-0469,297,36,0.05,22,0.0,
MYN-W-0470,320,65,0.24,53,0.0,
MYN-W-0471,343,19,0.21,84,37.0,
MYN-W-0472,366,48,0.18,115,0.0,
MYN-W-0473,389,77,0.15,26,0.0,
MYN-W-0474,412,31,0.12,57,0.0,
MYN-W-0475,435,60,0.09,88,0.0,
MYN-W-0476,458,14,0.06,119,53.0,
MYN-W-0477,481,43,0.25,30,0.0,
MYN-W-0478,504,72,0.22,61,0.0,
MYN-W-0479,527,26,0.19,92,13.0,
MYN-W-0480,550,55,0.16,3,0.0,
MYN-W-0481,573,84,0.13,34,0.0,
MYN-W-0482,596,38,0.1,65,0.0,
MYN-W-0483,619,67,0.07,96,0.0,
MYN-W-0484,642,21,0.04,7,30.0,
MYN-W-0485,665,50,0.23,38,0.0,
MYN-W-0486,688,79,0.2,69,0.0,
MYN-W-0487,11,33,0.17,100,0.0,
MYN-W-0488,34,62,0.14,11,0.0,
MYN-W-0489,57,16,0.11,42,47.0,
MYN-W-0490,80,45,0.08,73,0.0,
MYN-W-0491,103,74,0.05,104,0.0,
MYN-W-0492,126,28,0.24,15,7.0,
MYN-W-0493,149,57,0.21,46,0.0,
MYN-W-0494,172,11,0.18,77,63.0,
MYN-W-0495,195,40,0.15,108,0.0,
MYN-W-0496,218,69,0.12,19,0.0,
MYN-W-0497,241,23,0.09,50,23.0,
MYN-W-0498,264,52,0.06,81,0.0,
MYN-W-0499,287,81,0.25,112,0.0,
MYN-W-0500,310,35,0.22,23,0.0,
