sku_id,product_name,product_type
FAB-0122,FAB Tee 0122,stable
FAB-0123,FAB Loafer 0123,stable
FAB-0124,FAB Belt 0124,stable
FAB-0125,FAB Perfume 0125,stable
FAB-0126,FAB Lamp 0126,stable
FAB-0127,FAB Shirt 0127,stable
FAB-0128,FAB Sneaker 0128,stable
FAB-0129,FAB Watch 0129,stable
FAB-0130,FAB Lotion 0130,stable
FAB-0131,FAB Cushion 0131,stable
FAB-0132,FAB Kurta 0132,stable
FAB-0133,FAB Boot 0133,stable
FAB-0134,FAB Bag 0134,stable
FAB-0135,FAB Cleanser 0135,stable
FAB-0136,FAB Bedsheet 0136,stable
FAB-0137,FAB Dress 0137,stable
FAB-0138,FAB Sandal 0138,stable
FAB-0139,FAB Wallet 0139,stable
FAB-0140,FAB Serum 0140,stable
FAB-0141,FAB Rug 0141,stable
FAB-0142,FAB Jacket 0142,stable
FAB-0143,FAB Loafer 0143,stable
FAB-0144,FAB Belt 0144,stable
FAB-0145,FAB Perfume 0145,stable
FAB-0146,FAB Lamp 0146,stable
FAB-0147,FAB Jeans 0147,stable
FAB-0148,FAB Sneaker 0148,stable
FAB-0149,FAB Watch 0149,stable
FAB-0150,FAB Lotion 0150,stable
FAB-0151,FAB Cushion 0151,stable
FAB-0152,FAB Tee 0152,stable
FAB-0153,FAB Boot 0153,stable
FAB-0154,FAB Bag 0154,stable
FAB-0155,FAB Cleanser 0155,stable
FAB-0156,FAB Bedsheet 0156,stable
FAB-0157,FAB Shirt 0157,stable
FAB-0158,FAB Sandal 0158,stable
FAB-0159,FAB Wallet 0159,stable
FAB-0160,FAB Serum 0160,stable
FAB-0161,FAB Rug 0161,stable
FAB-0162,FAB Kurta 0162,stable
FAB-0163,FAB Loafer 0163,stable
FAB-0164,FAB Belt 0164,stable
FAB-0165,FAB Perfume 0165,stable
FAB-0166,FAB Lamp 0166,stable
FAB-0167,FAB Dress 0167,stable
FAB-0168,FAB Sneaker 0168,stable
FAB-0169,FAB Watch 0169,stable
FAB-0170,FAB Lotion 0170,stable
FAB-0171,FAB Cushion 0171,stable
FAB-0172,FAB Jacket 0172,stable
FAB-0173,FAB Boot 0173,stable
FAB-0174,FAB Bag 0174,stable
FAB-0175,FAB Cleanser 0175,stable
FAB-0176,FAB Bedsheet 0176,stable
FAB-0177,FAB Jeans 0177,stable
FAB-0178,FAB Sandal 0178,stable
FAB-0179,FAB Wallet 0179,stable
FAB-0180,FAB Serum 0180,stable
FAB-0181,FAB Rug 0181,stable
FAB-0182,FAB Tee 0182,stable
FAB-0183,FAB Loafer 0183,stable
FAB-0184,FAB Belt 0184,stable
FAB-0185,FAB Perfume 0185,stable
FAB-0186,FAB Lamp 0186,stable
FAB-0187,FAB Shirt 0187,stable
FAB-0188,FAB Sneaker 0188,stable
FAB-0189,FAB Watch 0189,stable
FAB-0190,FAB Lotion 0190,stable
FAB-0191,FAB Cushion 0191,stable
FAB-0192,FAB Kurta 0192,stable
FAB-0193,FAB Boot 0193,stable
FAB-0194,FAB Bag 0194,stable
FAB-0195,FAB Cleanser 0195,stable
FAB-0196,FAB Bedsheet 0196,stable
FAB-0197,FAB Dress 0197,stable
FAB-0198,FAB Sandal 0198,stable
FAB-0199,FAB Wallet 0199,stable
FAB-0200,FAB Serum 0200,stable
FAB-0201,FAB Rug 0201,stable
FAB-0202,FAB Jacket 0202,stable
FAB-0203,FAB Loafer 0203,stable
FAB-0204,FAB Belt 0204,stable
FAB-0205,FAB Perfume 0205,stable
FAB-0206,FAB Lamp 0206,stable
FAB-0207,FAB Jeans 0207,stable
FAB-0208,FAB Sneaker 0208,stable
FAB-0209,FAB Watch 0209,stable
FAB-0210,FAB Lotion 0210,stable
FAB-0211,FAB Cushion 0211,stable
FAB-0212,FAB Tee 0212,stable
FAB-0213,FAB Boot 0213,stable
FAB-0214,FAB Bag 0214,stable
FAB-0215,FAB Cleanser 0215,stable
FAB-0216,FAB Bedsheet 0216,stable
FAB-0217,FAB Shirt 0217,stable
FAB-0218,FAB Sandal 0218,stable
FAB-0219,FAB Wallet 0219,stable
FAB-0220,FAB Serum 0220,stable
FAB-0221,FAB Rug 0221,stable
FAB-0222,FAB Kurta 0222,stable
FAB-0223,FAB Loafer 0223,stable
FAB-0224,FAB Belt 0224,stable
FAB-0225,FAB Perfume 0225,stable
FAB-0226,FAB Lamp 0226,stable
FAB-0227,FAB Dress 0227,stable
FAB-0228,FAB Sneaker 0228,stable
FAB-0229,FAB Watch 0229,stable
FAB-0230,FAB Lotion 0230,stable
FAB-0231,FAB Cushion 0231,stable
FAB-0232,FAB Jacket 0232,stable
FAB-0233,FAB Boot 0233,stable
FAB-0234,FAB Bag 0234,stable
FAB-0235,FAB Cleanser 0235,stable
FAB-0236,FAB Bedsheet 0236,stable
FAB-0237,FAB Jeans 0237,stable
FAB-0238,FAB Sandal 0238,stable
FAB-0239,FAB Wallet 0239,stable
FAB-0240,FAB Serum 0240,stable
FAB-0241,FAB Rug 0241,stable
FAB-0242,FAB Tee 0242,stable
FAB-0243,FAB Loafer 0243,stable
FAB-0244,FAB Belt 0244,stable
FAB-0245,FAB Perfume 0245,stable
FAB-0246,FAB Lamp 0246,stable
FAB-0247,FAB Shirt 0247,stable
FAB-0248,FAB Sneaker 0248,stable
FAB-0249,FAB Watch 0249,stable
FAB-0250,FAB Lotion 0250,stable
FAB-0251,FAB Cushion 0251,stable
FAB-0252,FAB Kurta 0252,stable
FAB-0253,FAB Boot 0253,stable
FAB-0254,FAB Bag 0254,stable
FAB-0255,FAB Cleanser 0255,stable
FAB-0256,FAB Bedsheet 0256,stable
FAB-0257,FAB Dress 0257,stable
FAB-0258,FAB Sandal 0258,stable
FAB-0259,FAB Wallet 0259,stable
FAB-0260,FAB Serum 0260,stable
FAB-0261,FAB Rug 0261,stable
FAB-0262,FAB Jacket 0262,stable
FAB-0263,FAB Loafer 0263,stable
FAB-0264,FAB Belt 0264,stable
FAB-0265,FAB Perfume 0265,stable
FAB-0266,FAB Lamp 0266,stable
FAB-0267,FAB Jeans 0267,stable
FAB-0268,FAB Sneaker 0268,stable
FAB-0269,FAB Watch 0269,stable
FAB-0270,FAB Lotion 0270,stable
FAB-0271,FAB Cushion 0271,stable
FAB-0272,FAB Tee 0272,stable
FAB-0273,FAB Boot 0273,stable
FAB-0274,FAB Bag 0274,stable
FAB-0275,FAB Cleanser 0275,stable
FAB-0276,FAB Bedsheet 0276,stable
FAB-0277,FAB Shirt 0277,stable
FAB-0278,FAB Sandal 0278,stable
FAB-0279,FAB Wallet 0279,stable
FAB-0280,FAB Serum 0280,stable
FAB-0281,FAB Rug 0281,stable
FAB-0282,FAB Kurta 0282,stable
FAB-0283,FAB Loafer 0283,stable
FAB-0284,FAB Belt 0284,stable
FAB-0285,FAB Perfume 0285,stable
FAB-0286,FAB Lamp 0286,stable
FAB-0287,FAB Dress 0287,stable
FAB-0288,FAB Sneaker 0288,stable
FAB-0289,FAB Watch 0289,stable
FAB-0290,FAB Lotion 0290,stable
FAB-0291,FAB Cushion 0291,stable
FAB-0292,FAB Jacket 0292,stable
FAB-0293,FAB Boot 0293,stable
FAB-0294,FAB Bag 0294,stable
FAB-0295,FAB Cleanser 0295,stable
FAB-0296,FAB Bedsheet 0296,stable
FAB-0297,FAB Jeans 0297,stable
FAB-0298,FAB Sandal 0298,stable
FAB-0299,FAB Wallet 0299,stable
FAB-0300,FAB Serum 0300,stable
FAB-0301,FAB Rug 0301,stable
FAB-0302,FAB Tee 0302,stable
FAB-0303,FAB Loafer 0303,stable
FAB-0304,FAB Belt 0304,stable
FAB-0305,FAB Perfume 0305,stable
FAB-0306,FAB Lamp 0306,stable
FAB-0307,FAB Shirt 0307,stable
FAB-0308,FAB Sneaker 0308,stable
FAB-0309,FAB Watch 0309,stable
FAB-0310,FAB Lotion 0310,stable
FAB-0311,FAB Cushion 0311,stable
FAB-0312,FAB Kurta 0312,stable
FAB-0313,FAB Boot 0313,stable
FAB-0314,FAB Bag 0314,stable
FAB-0315,FAB Cleanser 0315,stable
FAB-0316,FAB Bedsheet 0316,stable
FAB-0317,FAB Dress 0317,stable
FAB-0318,FAB Sandal 0318,stable
FAB-0319,FAB Wallet 0319,stable
FAB-0320,FAB Serum 0320,stable
FAB-0321,FAB Rug 0321,stable
FAB-0322,FAB Jacket 0322,stable
FAB-0323,FAB Loafer 0323,stable
FAB-0324,FAB Belt 0324,stable
FAB-0325,FAB Perfume 0325,stable
FAB-0326,FAB Lamp 0326,stable
FAB-0327,FAB Jeans 0327,stable
FAB-0328,FAB Sneaker 0328,stable
FAB-0329,FAB Watch 0329,stable
FAB-0330,FAB Lotion 0330,stable
FAB-0331,FAB Cushion 0331,stable
FAB-0332,FAB Tee 0332,stable
FAB-0333,FAB Boot 0333,stable
FAB-0334,FAB Bag 0334,stable
FAB-0335,FAB Cleanser 0335,stable
FAB-0336,FAB Bedsheet 0336,stable
FAB-0337,FAB Shirt 0337,stable
FAB-0338,FAB Sandal 0338,stable
FAB-0339,FAB Wallet 0339,stable
FAB-0340,FAB Serum 0340,stable
FAB-0341,FAB Rug 0341,stable
FAB-0342,FAB Kurta 0342,stable
FAB-0343,FAB Loafer 0343,stable
FAB-0344,FAB Belt 0344,stable
FAB-0345,FAB Perfume 0345,stable
FAB-0346,FAB Lamp 0346,stable
FAB-0347,FAB Dress 0347,stable
FAB-0348,FAB Sneaker 0348,stable
FAB-0349,FAB Watch 0349,stable
FAB-0350,FAB Lotion 0350,stable
FAB-0351,FAB Cushion 0351,stable
FAB-0352,FAB Jacket 0352,stable
FAB-0353,FAB Boot 0353,stable
FAB-0354,FAB Bag 0354,stable
FAB-0355,FAB Cleanser 0355,stable
FAB-0356,FAB Bedsheet 0356,stable
FAB-0357,FAB Jeans 0357,stable
FAB-0358,FAB Sandal 0358,stable
FAB-0359,FAB Wallet 0359,stable
FAB-0360,FAB Serum 0360,stable
FAB-0361,FAB Rug 0361,stable
FAB-0362,FAB Tee 0362,stable
FAB-0363,FAB Loafer 0363,stable
FAB-0364,FAB Belt 0364,stable
FAB-0365,FAB Perfume 0365,stable
FAB-0366,FAB Lamp 0366,stable
FAB-0367,FAB Shirt 0367,stable
FAB-0368,FAB Sneaker 0368,stable
FAB-0369,FAB Watch 0369,stable
FAB-0370,FAB Lotion 0370,stable
FAB-0371,FAB Cushion 0371,stable
FAB-0372,FAB Kurta 0372,stable
FAB-0373,FAB Boot 0373,stable
FAB-0374,FAB Bag 0374,stable
FAB-0375,FAB Cleanser 0375,stable
FAB-0376,FAB Bedsheet 0376,stable
FAB-0377,FAB Dress 0377,stable
FAB-0378,FAB Sandal 0378,stable
FAB-0379,FAB Wallet 0379,stable
FAB-0380,FAB Serum 0380,stable
FAB-0381,FAB Rug 0381,stable
FAB-0382,FAB Jacket 0382,stable
FAB-0383,FAB Loafer 0383,stable
FAB-0384,FAB Belt 0384,stable
FAB-0385,FAB Perfume 0385,stable
FAB-0386,FAB Lamp 0386,stable
FAB-0387,FAB Jeans 0387,stable
FAB-0388,FAB Sneaker 0388,stable
FAB-0389,FAB Watch 0389,stable
FAB-0390,FAB Lotion 0390,stable
FAB-0391,FAB Cushion 0391,stable
FAB-0392,FAB Tee 0392,stable
FAB-0393,FAB Boot 0393,stable
FAB-0394,FAB Bag 0394,stable
FAB-0395,FAB Cleanser 0395,stable
FAB-0396,FAB Bedsheet 0396,stable
FAB-0397,FAB Shirt 0397,stable
FAB-0398,FAB Sandal 0398,stable
FAB-0399,FAB Wallet 0399,stable
FAB-0400,FAB Serum 0400,stable
FAB-0401,FAB Rug 0401,stable
FAB-0402,FAB Kurta 0402,stable
FAB-0403,FAB Loafer 0403,stable
FAB-0404,FAB Belt 0404,stable
FAB-0405,FAB Perfume 0405,stable
FAB-0406,FAB Lamp 0406,stable
FAB-0407,FAB Dress 0407,stable
FAB-0408,FAB Sneaker 0408,stable
FAB-0409,FAB Watch 0409,stable
FAB-0410,FAB Lotion 0410,stable
FAB-0411,FAB Cushion 0411,stable
FAB-0412,FAB Jacket 0412,stable
FAB-0413,FAB Boot 0413,stable
FAB-0414,FAB Bag 0414,stable
FAB-0415,FAB Cleanser 0415,stable
FAB-0416,FAB Bedsheet 0416,stable
FAB-0417,FAB Jeans 0417,stable
FAB-0418,FAB Sandal 0418,stable
FAB-0419,FAB Wallet 0419,stable
FAB-0420,FAB Serum 0420,stable
FAB-0421,FAB Rug 0421,stable
FAB-0422,FAB Tee 0422,stable
FAB-0423,FAB Loafer 0423,stable
FAB-0424,FAB Belt 0424,stable
FAB-0425,FAB Perfume 0425,stable
FAB-0426,FAB Lamp 0426,stable
FAB-0427,FAB Shirt 0427,stable
FAB-0428,FAB Sneaker 0428,stable
FAB-0429,FAB Watch 0429,stable
FAB-0430,FAB Lotion 0430,stable
FAB-0431,FAB Cushion 0431,stable
FAB-0432,FAB Kurta 0432,stable
FAB-0433,FAB Boot 0433,stable
FAB-0434,FAB Bag 0434,stable
FAB-0435,FAB Cleanser 0435,stable
FAB-0436,FAB Bedsheet 0436,stable
FAB-0437,FAB Dress 0437,stable
FAB-0438,FAB Sandal 0438,stable
FAB-0439,FAB Wallet 0439,stable
FAB-0440,FAB Serum 0440,stable
FAB-0441,FAB Rug 0441,stable
FAB-0442,FAB Jacket 0442,stable
FAB-0443,FAB Loafer 0443,stable
FAB-0444,FAB Belt 0444,stable
FAB-0445,FAB Perfume 0445,stable
FAB-0446,FAB Lamp 0446,stable
FAB-0447,FAB Jeans 0447,stable
FAB-0448,FAB Sneaker 0448,stable
FAB-0449,FAB Watch 0449,stable
FAB-0450,FAB Lotion 0450,stable
FAB-0451,FAB Cushion 0451,stable
FAB-0452,FAB Tee 0452,stable
FAB-0453,FAB Boot 0453,stable
FAB-0454,FAB Bag 0454,stable
FAB-0455,FAB Cleanser 0455,stable
FAB-0456,FAB Bedsheet 0456,stable
FAB-0457,FAB Shirt 0457,stable
FAB-0458,FAB Sandal 0458,stable
FAB-0459,FAB Wallet 0459,stable
FAB-0460,FAB Serum 0460,stable
FAB-0461,FAB Rug 0461,stable
FAB-0462,FAB Kurta 0462,stable
FAB-0463,FAB Loafer 0463,stable
FAB-0464,FAB Belt 0464,stable
FAB-0465,FAB Perfume 0465,stable
FAB-0466,FAB Lamp 0466,stable
FAB-0467,FAB Dress 0467,stable
FAB-0468,FAB Sneaker 0468,stable
FAB-0469,FAB Watch 0469,stable
FAB-0470,FAB Lotion 0470,stable
FAB-0471,FAB Cushion 0471,stable
FAB-0472,FAB Jacket 0472,stable
FAB-0473,FAB Boot 0473,stable
FAB-0474,FAB Bag 0474,stable
FAB-0475,FAB Cleanser 0475,stable
FAB-0476,FAB Bedsheet 0476,stable
FAB-0477,FAB Jeans 0477,stable
FAB-0478,FAB Sandal 0478,stable
FAB-0479,FAB Wallet 0479,stable
FAB-0480,FAB Serum 0480,stable
FAB-0481,FAB Rug 0481,stable
FAB-0482,FAB Tee 0482,stable
FAB-0483,FAB Loafer 0483,stable
FAB-0484,FAB Belt 0484,stable
FAB-0485,FAB Perfume 0485,stable
FAB-0486,FAB Lamp 0486,stable
FAB-0487,FAB Shirt 0487,stable
FAB-0488,FAB Sneaker 0488,stable
FAB-0489,FAB Watch 0489,stable
FAB-0490,FAB Lotion 0490,stable
FAB-0491,FAB Cushion 0491,stable
FAB-0492,FAB Kurta 0492,stable
FAB-0493,FAB Boot 0493,stable
FAB-0494,FAB Bag 0494,stable
FAB-0495,FAB Cleanser 0495,stable
FAB-0496,FAB Bedsheet 0496,stable
FAB-0497,FAB Dress 0497,stable
FAB-0498,FAB Sandal 0498,stable
FAB-0499,FAB Wallet 0499,stable
FAB-0500,FAB Serum 0500,stable
